gender,age,class-rank,sleep,sleep-avg,S-Sa,exercise,test-anx,instructions,expected-score,pre-exam-anx,achieved-score,As-Es,post-exam-anx,,Post.high.low
1,20,3,6,7,-1,2,27,1,80,22,30.43,-49.57,9,,1
1,22,4,8,7.5,0.5,0.5,38,2,94,19,86.96,-7.04,11,,1
1,27,3,7,7,0,7,10,2,70,5,91.3,21.3,3,,1
1,21,3,8.5,8,0.5,0,23,2,90,40,91.3,1.3,1,,1
2,20,3,7,7,0,1.5,36,2,50,38,56.52,6.52,31,,2
1,21,3,7.5,8,-0.5,0.5,12,1,93,3,95.65,2.65,0,,1
1,26,4,6.5,6,0.5,3,36,1,80,37,34.78,-45.22,43,,2
1,22,3,5.5,6,-0.5,0.5,36,2,70,1,65.22,-4.78,7,,1
1,21,4,7,8,-1,1,16,2,85,11,82.61,-2.39,2,,1
2,20,3,7,6.5,0.5,1,43,1,89,8,43.48,-45.52,31,,2
1,19,2,9,8.5,0.5,1.5,10,1,95,10,73.91,-21.09,2,,1
2,24,4,7,8,-1,1.5,3,1,87,5,86.96,-0.04,0,,1
1,20,3,7,6.5,0.5,0,5,2,80,19,78.26,-1.74,16,,2
1,19,2,4,4.5,-0.5,2.5,33,2,86,21,73.91,-12.09,23,,2
1,20,3,7.5,7,0.5,0.5,21,1,69,6,65.22,-3.78,7,,1
1,30,3,6.5,6,0.5,1,28,2,70,23,78.26,8.26,21,,2
1,19,2,8,6.5,1.5,0.5,23,1,85,9,91.3,6.3,5,,1
2,20,3,9,8,1,1,24,2,70,0,65.22,-4.78,0,,1
1,26,4,6,5.5,0.5,3,41,2,80,17,56.52,-23.48,22,,2
2,22,3,7,7,0,0.5,31,1,75,11,65.22,-9.78,18,,2
1,19,2,8,6,2,1,17,1,81,16,91.3,10.3,0,,1
2,18,1,8,7.5,0.5,1,41,2,70,2,52.17,-17.83,7,,1
1,21,4,7,7.5,-0.5,0.5,44,2,60,24,65.22,5.22,4,,1
1,23,4,6.5,6,0.5,2,19,2,60,16,60.87,0.87,12,,1
2,19,3,8,5,3,0.5,9,1,80,27,82.61,2.61,14,,1
1,21,4,2,6,-4,0.5,55,1,45,41,26.09,-18.91,36,,2
1,21,4,7,8,-1,1.5,7,2,90,0,78.26,-11.74,0,,1
2,19,2,9,7.5,1.5,1,34,2,75,37,60.87,-14.13,47,,2
1,21,3,10,8,2,3,11,1,100,19,91.3,-8.7,3,,1
1,21,4,1,6,-5,1,25,2,100,18,73.91,-26.09,22,,2
1,22,4,6,5.5,0.5,1.5,42,1,85,10,65.22,-19.78,9,,1
2,22,4,7.5,6.5,1,1.5,44,2,86,7,60.87,-25.13,0,,1
1,18,1,6.5,7,-0.5,0,23,2,90,26,78.26,-11.74,17,,2
1,20,3,7,6,1,1,38,1,70,21,86.96,16.96,20,,2
1,24,4,8,8,0,0.5,10,1,70,1,82.61,12.61,1,,1
2,24,3,8,7,1,1,18,2,80,7,73.91,-6.09,16,,2
1,21,3,4,6,-2,2,45,1,84,21,73.91,-10.09,2,,1
2,20,1,7,8,-1,1,38,2,71,43,69.57,-1.43,43,,2
1,32,4,4.5,5,-0.5,1.5,44,1,70,27,73.91,3.91,16,,2
1,47,2,8,7.5,0.5,0,54,1,100,45,73.91,-26.09,24,,2
1,20,3,6,6.5,-0.5,6,24,2,100,21,43.48,-56.52,38,,2
2,18,1,6,8,-2,1,18,1,81,19,91.3,10.3,9,,1
1,22,3,5.5,6.5,-1,1,8,1,80,6,78.26,-1.74,0,,1
1,23,4,7,6,1,0.5,31,2,95,6,95.65,0.65,3,,1
2,20,3,6,6.5,-0.5,1.5,43,1,81,26,34.78,-46.22,32,,2
1,20,3,8,8,0,1,29,2,90,7,91.3,1.3,0,,1
1,26,4,7,7,0,1,42,2,50,20,78.26,28.26,18,,2
1,24,4,7.5,7,0.5,1,11,1,65,6,47.83,-17.17,3,,1
2,19,1,7,6,1,2,28,2,39,29,69.57,30.57,23,,2
1,21,4,4,4,0,2,26,1,82,10,65.22,-16.78,0,,1
1,22,4,6,7,-1,1.5,57,1,70,39,82.61,12.61,23,,2
1,24,4,10,5,5,0,41,1,75,21,56.52,-18.48,51,,2
1,20,4,6.5,7.5,-1,0.5,14,2,86,10,69.57,-16.43,18,,2
2,23,4,4,6,-2,3,45,1,100,7,52.17,-47.83,3,,1
1,20,3,7,8,-1,1.5,37,1,76,22,78.26,2.26,18,,2
2,23,4,7.5,7,0.5,1,50,1,92,30,73.91,-18.09,44,,2
1,23,4,8,7.5,0.5,1.5,57,2,80,32,73.91,-6.09,21,,2
2,18,1,9,5,4,2,52,1,10,28,34.78,24.78,25,,2
1,23,4,4.5,3,1.5,3,28,2,63,38,34.78,-28.22,37,,2
